Timestamp,Email Address,Name,[DCA] Monday 3:25PM - 4:50PM,[DCA] Wednesday 3:25PM - 4:50PM,[Montera] Thursday 3:25PM - 5:40PM,[DeJean] Monday 2:40PM - 4:20PM,[DeJean] Wednesday 2:40PM - 4:20PM,[King] Tuesday 3:00PM - 4:30PM,[King] Thursday 3:00PM - 4:30PM,[Rudsdale] Tuesday 1:35PM - 3:30PM (Spanish section),[Rudsdale] Thursday 1:35PM - 3:30PM (Spanish section),[Rudsdale] Wednesday 10:30AM - 1:00PM (Spanish section),[Longfellow] Monday 4:00PM - 5:30PM,[Longfellow] Wednesday 2:00PM - 3:30PM,[SquashDrive] Thursday 3:55PM - 5:35PM,[John Henry] Tuesday 3:30PM - 5:30PM,[John Henry] Thursday 3:30PM - 5:30PM,Exec,CC,Driver,Site Leader,Spanish Speaking
1/20/2023 14:02:55,random_0@berkeley.edu,random_0,,3rd,,,2nd,,,,,,,1st,,,,False,False,False,False,False
1/20/2023 14:25:42,random_1@berkeley.edu,random_1,,,,5th,4th,,,,,,,,3rd,1st,2nd,False,False,False,False,True
1/20/2023 14:54:28,random_2@berkeley.edu,random_2,2nd,1st,,,,,,,,,,,,3rd,,False,False,True,False,False
1/20/2023 14:54:52,random_3@berkeley.edu,random_3,,,,,,,,1st,2nd,,,,,,,False,False,False,False,False
1/20/2023 14:59:06,random_4@berkeley.edu,random_4,,1st,,,2nd,,,,,,,3rd,,,,False,False,False,False,False
1/20/2023 15:02:31,random_5@berkeley.edu,random_5,3rd,,,2nd,,,,,,,1st,,,,,False,False,False,['[DCA] Monday 3:25PM - 4:50PM'],False
1/20/2023 15:05:32,random_6@berkeley.edu,random_6,3rd,1st,,5th,4th,,,,,,,2nd,,,,False,False,False,False,False
1/20/2023 15:18:09,random_7@berkeley.edu,random_7,,,,,4th,1st,2nd,5th,,,,,,3rd,,False,False,False,['[DCA] Wednesday 3:25PM - 4:50PM'],False
1/20/2023 15:19:40,random_8@berkeley.edu,random_8,,,,,,,1st,,,,,,,,,False,True,False,False,False
1/20/2023 15:38:04,random_9@berkeley.edu,random_9,,,,,,,,,,,,1st,,,,True,True,False,False,False
1/20/2023 15:55:30,random_10@berkeley.edu,random_10,2nd,,,,,,,,,,1st,,,3rd,,True,True,False,False,False
1/20/2023 15:56:21,random_11@berkeley.edu,random_11,,,,1st,2nd,,,,,,,,,,,False,False,True,False,False
1/20/2023 16:13:22,random_12@berkeley.edu,random_12,,,,,,,,1st,,,,,,,,False,False,True,['[Montera] Thursday 3:25PM - 5:40PM'],False
1/20/2023 16:20:56,random_13@berkeley.edu,random_13,,,,1st,2nd,,,,,,,,,,,True,True,False,False,False
1/20/2023 17:08:52,random_14@berkeley.edu,random_14,,,,,,1st,2nd,,,,,,,3rd,4th,False,False,False,False,False
1/20/2023 23:34:16,random_15@berkeley.edu,random_15,4th,5th,,,,,,3rd,2nd,1st,,,,,,False,True,False,False,True
1/21/2023 0:31:36,random_16@berkeley.edu,random_16,,,2nd,3rd,4th,,,,,,1st,,5th,,,False,False,False,False,False
1/21/2023 13:15:40,random_17@berkeley.edu,random_17,,1st,,,2nd,,,,,,,3rd,,,,False,False,False,False,False
1/21/2023 14:19:32,random_18@berkeley.edu,random_18,4th,1st,5th,,,,,,,,3rd,2nd,,,,False,False,False,False,False
1/21/2023 16:08:59,random_19@berkeley.edu,random_19,3rd,4th,,1st,2nd,,,,,,5th,,,,,False,True,False,False,False
1/21/2023 15:16:11,random_20@berkeley.edu,random_20,1st,4th,,2nd,3rd,,,,,,,,,,,False,False,True,False,False
1/21/2023 15:38:58,random_21@berkeley.edu,random_21,,2nd,,,1st,,,,,,,3rd,,,,True,False,False,False,False
1/21/2023 16:13:50,random_22@berkeley.edu,random_22,3rd,5th,,1st,2nd,,,,,,,,4th,,,False,False,False,"['[DeJean] Monday 2:40PM - 4:20PM', '[DeJean] Wednesday 2:40PM - 4:20PM']",False
1/21/2023 18:21:34,random_23@berkeley.edu,random_23,,,,,,3rd,,,,,2nd,,1st,,,False,False,False,False,False
1/21/2023 19:08:03,random_24@berkeley.edu,random_24,,,2nd,,5th,,1st,,,,,,3rd,,4th,False,True,False,False,False
1/21/2023 20:28:28,random_25@berkeley.edu,random_25,1st,2nd,5th,,,3rd,4th,,,,,,,,,False,False,False,False,False
1/21/2023 20:36:58,random_26@berkeley.edu,random_26,,1st,,,3rd,,,,,,,2nd,,,,False,False,False,False,False
1/21/2023 23:12:17,random_27@berkeley.edu,random_27,,1st,,,,3rd,2nd,,,,,4th,,5th,,False,False,False,False,False
1/22/2023 0:05:24,random_28@berkeley.edu,random_28,,,,,,,,,,,,,1st,,2nd,False,False,False,False,True
1/22/2023 0:10:17,random_29@berkeley.edu,random_29,1st,,,2nd,,,,,,,3rd,,,,,False,False,False,False,True
1/22/2023 12:18:19,random_32@berkeley.edu,random_32,,,,,,,,1st,2nd,,,,,,,True,False,False,False,False
1/22/2023 12:34:06,random_33@berkeley.edu,random_33,,,1st,,,,,,,,,,2nd,,3rd,False,False,False,"['[King] Tuesday 3:00PM - 4:30PM', '[King] Thursday 3:00PM - 4:30PM']",False
1/22/2023 12:51:18,random_34@berkeley.edu,random_34,3rd,,,2nd,,,,,,,1st,,,,,False,False,False,False,False
1/22/2023 12:56:28,random_35@berkeley.edu,random_35,,3rd,,,2nd,,,,,,,1st,,,,False,False,True,False,False
1/22/2023 12:57:08,random_36@berkeley.edu,random_36,1st,,,3rd,,,,,,,2nd,,,,,False,False,False,False,False
1/22/2023 13:41:54,random_37@berkeley.edu,random_37,2nd,1st,,,3rd,,,,,,,4th,,,,False,True,False,False,False
1/22/2023 16:49:15,random_40@berkeley.edu,random_40,1st,,,2nd,,,,,,,3rd,,,,,False,True,False,False,False
1/25/2023 16:08:01,random_41@berkeley.edu,random_41,4th,,1st,,,,3rd,,,,2nd,,,,,False,False,True,False,False
1/25/2023 17:24:54,random_42@berkeley.edu,random_42,,3rd,,,2nd,,,,,,,1st,,,,False,False,False,False,False
1/30/2023 16:47:50,random_43@berkeley.edu,random_43,1st,3rd,,,,,,,,,2nd,,4th,,,False,False,False,False,False
2/6/2023 22:40:31,random_44@berkeley.edu,random_44,1st,3rd,,,4th,,,,,,2nd,5th,,,,False,False,True,"['[Rudsdale] Tuesday 1:35PM - 3:30PM (Spanish section)', '[Rudsdale] Thursday 1:35PM - 3:30PM (Spanish section)']",False
2/6/2023 23:40:40,random_45@berkeley.edu,random_45,,4th,,,,3rd,,1st,,,5th,,2nd,,,False,False,False,False,False
2/7/2023 0:12:25,random_46@berkeley.edu,random_46,1st,,,3rd,,,,,,,2nd,4th,,,,False,False,False,False,False
2/7/2023 0:19:50,random_47@berkeley.edu,random_47,,,2nd,,,,3rd,,1st,,,,4th,,5th,False,False,False,False,True
