,Timestamp,Email Address,Name :D,Please read the information above. Are you aware and do you agree with the site policies?,Have you confirmed being a site leader with Jacob or Fernanda?,"Rank your preferred site times (1st most preferred, 5th least) [[DCA] Monday 3:25PM - 4:50PM]","Rank your preferred site times (1st most preferred, 5th least) [[DCA] Wednesday 3:25PM - 4:50PM]","Rank your preferred site times (1st most preferred, 5th least) [[Montera] Thursday 3:25PM - 5:40PM]","Rank your preferred site times (1st most preferred, 5th least) [[DeJean] Monday 2:40PM - 4:20PM]","Rank your preferred site times (1st most preferred, 5th least) [[DeJean] Wednesday 2:40PM - 4:20PM]","Rank your preferred site times (1st most preferred, 5th least) [[King] Tuesday 3:00PM - 4:30PM]","Rank your preferred site times (1st most preferred, 5th least) [[King] Thursday 3:00PM - 4:30PM]","Rank your preferred site times (1st most preferred, 5th least) [[Rudsdale] Tuesday 1:35PM - 3:30PM (Spanish section)]","Rank your preferred site times (1st most preferred, 5th least) [[Rudsdale] Thursday 1:35PM - 3:30PM (Spanish section)]","Rank your preferred site times (1st most preferred, 5th least) [[Rudsdale] Wednesday 10:30AM - 1:00PM (Spanish section)]","Rank your preferred site times (1st most preferred, 5th least) [[Longfellow] Monday 4:00PM - 5:30PM]","Rank your preferred site times (1st most preferred, 5th least) [[Longfellow] Wednesday 2:00PM - 3:30PM]","Rank your preferred site times (1st most preferred, 5th least) [[SquashDrive] Thursday 3:55PM - 5:35PM]","Rank your preferred site times (1st most preferred, 5th least) [[John Henry] Tuesday 3:30PM - 5:30PM]","Rank your preferred site times (1st most preferred, 5th least) [[John Henry] Thursday 3:30PM - 5:30PM]","Rank your preferred site times (1st most preferred, 5th least) [None 1]","Rank your preferred site times (1st most preferred, 5th least) [None 2]","Rank your preferred site times (1st most preferred, 5th least) [None 3]","Rank your preferred site times (1st most preferred, 5th least) [None 4]","Rank your preferred site times (1st most preferred, 5th least) [None 5]",Is there any site in particular you want to be placed at?,Is there any site in particular you DO NOT want to be placed at?,Questions/Comments/Concerns? <33
0,1/20/2023 14:02:55,random_0@berkeley.edu,random_0,Yes,No/Don't Know,,3rd,,,2nd,,,,,,,1st,,,,4th,,,,,,,
1,1/20/2023 14:25:42,random_1@berkeley.edu,random_1,Yes,No/Don't Know,,,,5th,4th,,,,,,,,3rd,1st,2nd,,,,,,,Longfellow to avoid the fingerprint extra stuff!!,
2,1/20/2023 14:54:28,random_2@berkeley.edu,random_2,Yes,No/Don't Know,2nd,1st,,,,,,,,,,,,3rd,,4th,5th,,,,DCA <33,,i ♡ site
3,1/20/2023 14:54:52,random_3@berkeley.edu,random_3,Yes,No/Don't Know,,,,,,,,1st,2nd,,,,,,,,,3rd,4th,5th,Any spanish section plsss,,
4,1/20/2023 14:59:06,random_4@berkeley.edu,random_4,Yes,No/Don't Know,,1st,,,2nd,,,,,,,3rd,,,,,,,4th,5th,,,My time table is not finalized yet so I might switch
5,1/20/2023 15:02:31,random_5@berkeley.edu,random_5,Yes,No/Don't Know,3rd,,,2nd,,,,,,,1st,,,,,4th,,,,,,,hi jacob 
6,1/20/2023 15:05:32,random_6@berkeley.edu,random_6,Yes,No/Don't Know,3rd,1st,,5th,4th,,,,,,,2nd,,,,,,,,,DCA,,Wednesday pleasee <3
7,1/20/2023 15:18:09,random_7@berkeley.edu,random_7,Yes,No/Don't Know,,,,,4th,1st,2nd,5th,,,,,,3rd,,,,,,,,,
8,1/20/2023 15:19:40,random_8@berkeley.edu,random_8,Yes,No/Don't Know,,,,,,,1st,,,,,,,,,2nd,3rd,4th,5th,,,,Sorry for only picking one site!! Really would love to go to any but only King on Thursdays from 3-4:30pm works with my schedule at the moment.
9,1/20/2023 15:38:04,random_9@berkeley.edu,random_9,Yes,No/Don't Know,,,,,,,,,,,,1st,,,,2nd,3rd,4th,5th,,,,
10,1/20/2023 15:55:30,random_10@berkeley.edu,random_10,Yes,No/Don't Know,2nd,,,,,,,,,,1st,,,3rd,,,,,4th,5th,,,excited for site (:
11,1/20/2023 15:56:21,random_11@berkeley.edu,random_11,Yes,No/Don't Know,,,,1st,2nd,,,,,,,,,,,,,3rd,4th,5th,dejean,,thank you jacob + fernanda! <3
12,1/20/2023 16:13:22,random_12@berkeley.edu,random_12,Yes,No/Don't Know,,,,,,,,1st,,,,,,,,,,,,,Rudsdale Spanish Section ,,
13,1/20/2023 16:20:56,random_13@berkeley.edu,random_13,Yes,No/Don't Know,,,,1st,2nd,,,,,,,,,,,,,4th,3rd,5th,DeJean,,
14,1/20/2023 17:08:52,random_14@berkeley.edu,random_14,Yes,No/Don't Know,,,,,,1st,2nd,,,,,,,3rd,4th,,,,,5th,King,,
15,1/20/2023 23:34:16,random_15@berkeley.edu,random_15,Yes,No/Don't Know,4th,5th,,,,,,3rd,2nd,1st,,,,,,,,,,,,,
